Recipe Name,Materials Needed [1],Obtained From [1],Item Sell Price [1]
Aroma Pot,3x clay,Snooty island resident Message in a bottle,600
Bamboo Candleholder,3x bamboo piece2x clay,Snooty island resident Message in a bottle,880
Bamboo Drum,3x bamboo piece2x softwood,Jock island resident Message in a bottle,720
Bamboo Lunch Box,4x bamboo piece,Snooty island resident Message in a bottle,640
Bamboo-Shoot Lamp,4x young spring bamboo5x bamboo shoot4x clay,Balloon during Spring,4900
Bamboo Sphere,3x bamboo piece,Normal island resident Message in a bottle,480
Bunny Day Lamp,4x wood egg,Bunny Day balloon Bunny Day bottle,1600
Cherry-Blossom Bonsai,6x cherry-blossom petal2x hardwood3x clump of weeds3x clay,Balloon during Cherry-Blossom Season,3300
Cherry Speakers,10x cherry 2x iron nugget,"Tom Nook after receiving first three housing kits, if the native fruit is cherries Peppy island resident Message in a bottle",3500
Classic Pitcher,4x clay,Tom Nook after receiving first three housing kits Snooty island resident Message in a bottle,800
Coconut Juice,1x coconut,Snooty island resident Message in a bottle,500
Cutting Board,2x hardwood1x iron nugget,Normal island resident Message in a bottle,990
Decoy Duck,4x softwood,Smug island resident Message in a bottle,480
Document Stack,1x scattered papers,Smug island resident Message in a bottle,400
Festive Top Set,2x gold ornament1x hardwood,Balloon during Festive Season,320
Firewood,8x wood,Jock island resident Message in a bottle,960
Frozen-Treat Set,1xlarge snowflake1xsnowflake,Perfect Snowboy,5400
Fruit Basket,1x apple1x pear1x cherry1x orange1x peach,Cranky island resident Message in a bottle,1000
Frying Pan,2x iron nugget,DIY for Beginners from Nook's Cranny (480 ),1500
Gold Bars,3x gold nugget,Snooty island resident Message in a bottle,30000
Golden Arowana Model,3x gold nugget,Lazy island resident Message in a bottle,30000
Golden Candlestick,2x gold nugget,Smug island resident Message in a bottle,20000
Golden Dishes,1x gold nugget,Snooty island resident Message in a bottle,10000
Golden Dung Beetle,3x gold nugget,Lazy island resident Message in a bottle,30000
Holiday Candle,5x red ornament5x clump of weeds,Balloon during Festive Season,600
Hyacinth Lamp,5x purple hyacinths3x clay,Sisterly island resident Message in a bottle,3000
Infused-Water Dispenser,2x apple2x pear2x cherry2x orange2x peach2x coconut,Cranky island resident Message in a bottle,3000
Kettlebell,5x iron nugget,Jock island resident Message in a bottle,3750
Libra Scale,3x star fragment2x Libra fragment2x gold nugget,Celeste September 23rd – October 23rd,21750
Lucky Gold Cat,2x gold nugget1x Lucky cat,Snooty island resident Message in a bottle,21675
Magazine Rack,2x magazine4x wood,Peppy island resident Message in a bottle,690
Matryoshka,5x softwood,Lazy island resident Message in a bottle,600
Modeling Clay,2x clay,Cranky island resident Message in a bottle,400
Nova Light,5x star fragment,Celeste,2500
Old-Fashioned Washtub,3x softwood,DIY for Beginners from Nook's Cranny (480 ),360
Peach Surprise Box,10x peach4x softwood,"Tom Nook after receiving first three housing kits, if the native fruit is peaches Normal island resident Message in a bottle",2480
Pine Bonsai Tree,8x pine cone5xclay,Balloon during Autumn,4200
Pot,5x clay,Tom Nook after receiving first three housing kits Cranky island resident Message in a bottle,1000
Recycled-Can Thumb Piano,1x empty can1x wood1x iron nugget,Fishing up 3 cans,890
Ringtoss,2x wood2x softwood,"Test Your DIY Skills from Nook's Cranny (2,680 )",480
Scorpio Lamp,3x star fragment2x Scorpius fragment2x gold nugget5x stone,Celeste October 24th – November 22nd,22125
Shell Lamp,2x giant clam3x clay,Sisterly island resident Message in a bottle,4200
Shell Speaker,3x conch2x iron nugget,Sisterly island resident Message in a bottle,5700
Stack Of Books,5x book,Lazy island resident Message in a bottle,725
Stacked Magazines,6x magazine,Peppy island resident Message in a bottle,630
Star Clock,3x star fragment1x iron nugget,Celeste,2250
Steamer-Basket Set,6x young spring bamboo,Balloon during Spring,2400
Succulent Plant,10x clump of weeds1x empty can,Fishing up an empty can,220
Tabletop Festive Tree,5x gold ornament3x tree branch2xclay,Balloon during Festive Season,930
Terrarium,12x clump of weeds2x iron nugget,Normal island resident Message in a bottle,1740
Traditional Balancing Toy,4x acorn2x hardwood,Balloon during Autumn,1840
Trash Bags,1x empty can1x boot1x old tire,Fishing up 15 trash,60
Tree'S Bounty Lamp,6x acorn4x clay,Balloon during Autumn,3200
Tree'S Bounty Little Tree,6x pine cone4x acorn1x hardwood,Isabelle during Autumn Balloon during Autumn,4120
Ukulele,5x hardwood,Smug island resident Message in a bottle,600
Unglazed Dish Set,3x clay,Snooty island resident Message in a bottle,600
Windflower Fan,3x red windflowers2x iron nugget,Lazy island resident Message in a bottle,1740
Wobbling Zipper Toy,4x earth egg4x stone egg4x leaf egg4x wood egg4x sky egg4x water egg,Zipper after crafting all other Bunny Day recipes,9600
Wooden-Block Toy,3x softwood,DIY for Beginners from Nook's Cranny (480 ),360
Wooden Fish,3x wood,"Wildest Dreams DIY from Nook's Cranny (6,980 )",360
Wooden Table Mirror,3x wood1x iron nugget,Sisterly island resident Message in a bottle,1110
Wooden Toolbox,4x softwood2x iron nugget,Normal island resident Message in a bottle,1980
