Recipe Name,Materials Needed [1],Obtained From [1],Item Sell Price [1],Unnamed: 6
Bamboo Wall Decoration,1x bamboo piece,Jock island resident Message in a bottle,160,
Blue Rose Wreath,10x blue roses,Any island resident Message in a bottle,20000,
Bone Doorplate,3x softwood,Lazy island resident Message in a bottle,360,
Boomerang,3x hardwood,Lazy island resident Message in a bottle,360,
Bunny Day Glowy Garland,1x earth egg1x stone egg1x leaf egg1x wood egg1x sky egg1x water egg,Bunny Day balloon Bunny Day bottle,2400,
Bunny Day Wall Clock,3x sky egg,Bunny Day balloon Bunny Day bottle,1200,
Bunny Day Wreath,1x earth egg1x stone egg1x leaf egg1x wood egg1x sky egg1x water egg,Bunny Day balloon Bunny Day bottle,2400,
Cherry Lamp,10x cherry2x clay,"Tom Nook after receiving first three housing kits, if the native fruit is cherries Peppy island resident Message in a bottle",2400,
Cherry-Blossom Clock,5x cherry-blossom petal1x iron nugget,Balloon during Cherry-Blossom Season,2750,
Chic Cosmos Wreath,10x black cosmos,Any island resident Message in a bottle,4800,
Chic Windflower Wreath,10x purple windflowers,Any island resident Message in a bottle,4800,
Coconut Wall Planter,1x coconut5x clump of weeds,Snooty island resident Message in a bottle,600,
Cool Hyacinth Wreath,3x orange hyacinths3x blue hyacinths3x pink hyacinths,Any island resident Message in a bottle,1440,
Cool Pansy Wreath,10x purple pansies,Any island resident Message in a bottle,4800,
Cool Windflower Wreath,3x blue windflowers3x pink windflowers3x white windflowers,Any island resident Message in a bottle,1200,
Cosmos Wreath,3x yellow cosmos3x white cosmos3x red cosmos,"Tom Nook after receiving first three housing kits, if the native flower is cosmos Any island resident Message in a bottle",720,
Crest Doorplate,4x iron nugget,Smug island resident Message in a bottle,3000,
Dark Lily Wreath,10x black lilies,Any island resident Message in a bottle,1600,
Dark Rose Wreath,3x black roses6x purple roses,Any island resident Message in a bottle,4320,
Dark Tulip Wreath,10x black tulips,Any island resident Message in a bottle,1600,
Deer Decoration,8x softwood,Lazy island resident Message in a bottle,960,
Fancy Lily Wreath,3x orange lilies3x pink lilies3x yellow lilies,Any island resident Message in a bottle,1200,
Fancy Mum Wreath,3x pink mums3x purple mums3x red mums,Any island resident Message in a bottle,1200,
Fancy Rose Wreath,3x orange roses3x pink roses3x yellow roses,Any island resident Message in a bottle,1200,
Floral Swag,10x clump of weeds,Normal island resident Message in a bottle,200,
Fossil Doorplate,1x fossil2x stone,Jock island resident Message in a bottle,500,
Fruit Wreath,2x apple1x pear3x cherry3x orange1x peach,Cranky island resident Message in a bottle,2000,
Gold Rose Wreath,10x gold roses,Any island resident Message in a bottle,20000,
Golden Gears,1x gold nugget3x iron nugget,Smug island resident Message in a bottle,11125,
Hanging Terrarium,12x clump of weeds4x iron nugget,Peppy island resident Message in a bottle,3240,
Hyacinth Wreath,3x white hyacinths3x red hyacinths3x yellow hyacinths,"Tom Nook after receiving first three housing kits, if the native flower is hyacinths Any island resident Message in a bottle",720,
Iron Doorplate,2x iron nugget,Sisterly island resident Message in a bottle,1500,
Iron Wall Lamp,4x iron nugget2x clay,"Wildest Dreams DIY from Nook's Cranny (6,980 )",3400,
Iron Wall Rack,3x iron nugget1x clay,Smug island resident Message in a bottle,2450,
Ironwood Clock,2x wood2x iron nugget,Smug island resident Message in a bottle,1740,
Key Holder,3x wood1x iron nugget,Sisterly island resident Message in a bottle,1110,
Leo Sculpture,3x star fragment2x Leo fragment2x gold nugget3x stone,Celeste July 23rd – August 22nd,21975,
Lily Wreath,3x white lilies3x red lilies3x yellow lilies,"Tom Nook after receiving first three housing kits, if the native flower is lilies Any island resident Message in a bottle",720,
Log Wall-Mounted Clock,2x hardwood1x iron nugget,Lazy island resident Message in a bottle,990,
Mermaid Wall Clock,1x pearl3x sea snail2x coral2x iron nugget,Pascal,12290,
Mum Wreath,3x white mums3x yellow mums3x red mums,"Tom Nook after receiving first three housing kits, if the native flower is mums Any island resident Message in a bottle",720,
Mushroom Wreath,10x tree branch1x round mushroom1x skinny mushroom1x flat mushroom,Balloon during Mushrooming Season,1500,
Natural Mum Wreath,10x green mums,Any island resident Message in a bottle,4800,
Orange Wall-Mounted Clock,10x orange2x wood,"Tom Nook after receiving first three housing kits, if the native fruit is oranges Lazy island resident Message in a bottle",2240,
