Recipe Name,Materials Needed [1],Obtained From [1],Item Sell Price [1]
Apple Rug,6x apple,Sisterly island resident Message in a bottle,1200
Apple Wall,20x apple,Sisterly island resident Message in a bottle,4000
Autumn Wall,10x maple leaf5x wood5x clump of weeds,Balloon during Maple Leaf Season,4700
Backyard Lawn,30x clump of weeds,Peppy island resident Message in a bottle,600
Bamboo Flooring,15x bamboo piece,Cranky island resident Message in a bottle,2400
Bamboo Wall,15x bamboo piece,Cranky island resident Message in a bottle,2400
Bamboo-Grove Wall,7x young spring bamboo3x bamboo shoot,Balloon during Spring,4300
Basement Flooring,10x stone,Smug island resident Message in a bottle,1500
Brown Herringbone Wall,15x softwood,Sisterly island resident Message in a bottle,1800
Bunny Day Flooring,2x earth egg2x stone egg2x leaf egg2x wood egg2x sky egg2x water egg,Bunny Day balloon Bunny Day bottle,4800
Bunny Day Rug,1x earth egg1x stone egg1x leaf egg1x wood egg1x sky egg1x water egg,Bunny Day balloon Bunny Day bottle,2400
Bunny Day Wall,2x earth egg2x stone egg2x leaf egg2x wood egg2x sky egg2x water egg,Bunny Day balloon Bunny Day bottle,4800
Cabin Wall,15x hardwood,Peppy island resident Message in a bottle,1800
Cherry Rug,6x cherry,Peppy island resident Message in a bottle,1200
Cherry Wall,20x cherry,Peppy island resident Message in a bottle,4000
Cherry-Blossom Flooring,10x cherry-blossom petal20x clump of weeds,Balloon during Cherry Blossom Season,4400
Cherry-Blossom-Trees Wall,10x cherry-blossom petal5x hardwood,Balloon during Cherry Blossom Season,4600
Chocolate Herringbone Wall,15x softwood,Smug island resident Message in a bottle,1800
Classic-Library Wall,10x book,Normal island resident Message in a bottle,1450
Colored-Leaves Flooring,10x maple leaf15x clump of weeds,Balloon during Maple Leaf Season,4300
Dark Bamboo Rug,6x bamboo piece,Cranky island resident Message in a bottle,960
Dark Wooden-Mosaic Wall,15x wood,Sisterly island resident Message in a bottle,1800
Forest Flooring,1x rare mushroom2x round mushroom2x skinny mushroom2x flat mushroom10x clump of weeds,Balloon during Mushrooming Season,35000
Forest Wall,2x elegant mushroom2x round mushroom2x skinny mushroom2x flat mushroom10x wood,Balloon during Mushrooming Season,44000
Galaxy Flooring,5x star fragment1x large star fragment,Celeste,7500
Garbage-Heap Flooring,2x empty can2x boot2x old tire,Fishing up 15 trash,120
Garbage-Heap Wall,2x empty can2x boot2x old tire,Fishing up 15 trash,120
Golden Flooring,4x gold nugget,Smug island resident Balloon,40000
Golden Wall,4x gold nugget,Smug island resident Message in a bottle,40000
Gold-Screen Wall,2x gold nugget1x screen wall,Smug island resident Message in a bottle,20750
Honeycomb Flooring,5x wasp nest,Jock island resident Message in a bottle,3000
Honeycomb Wall,6x wasp nest,Jock island resident Message in a bottle,3600
Ice Flooring,1x large snowflake8x snowflake,Perfect Snowboy,8200
Ice Wall,1x large snowflake8x snowflake,Perfect Snowboy,8200
Iceberg Flooring,10x snowflake,Balloon during Winter,4000
Iceberg Wall,10x snowflake,Balloon during Winter,4000
Jingle Wall,5x red ornament5x blue ornament5x gold ornament5x clay,Balloon during Festive Season,2500
Jungle Flooring,10x clump of weeds10x clay,Jock island resident Message in a bottle,2200
Jungle Wall,15x clump of weeds3x wood3x hardwood3x softwood,Jock island resident Message in a bottle,1380
Light Bamboo Rug,6x young spring bamboo,Balloon during Spring,2400
Lunar Surface,5x star fragment1x large star fragment,Celeste,7500
Manga-Library Wall,10x magazine,Peppy island resident Message in a bottle,1050
Mermaid Flooring,2x pearl5x sand dollar5x stone,Pascal,20975
Mermaid Rug,1x pearl3x sand dollar,Pascal,10360
Mermaid Wall,2x pearl2x sea snail2x sand dollar2x coral2x giant clam2x cowrie,Pascal,23520
