Recipe Name,Materials Needed [1],Obtained From [1],Item Sell Price [1]
Acoustic Guitar,8x softwood3x iron nugget,Smug island resident Message in a bottle,3210
Angled Signpost,2x hardwood3x softwood,Lazy island resident Message in a bottle,600
Apple Chair,10x apple4x wood,"Tom Nook after receiving first three housing kits, if the native fruit is apples Sisterly island resident Message in a bottle",2480
Aquarius Urn,3x star fragment2x Aquarius fragment2x gold nugget5x stone,Celeste January 20th – February 18th,22125
Aries Rocking Chair,3x star fragment2x Aries fragment1x gold nugget5x stone,Celeste March 21st – April 19th,12125
Asteroid,5x star fragment10x stone,Celeste,4000
Astronaut Suit,5x star fragment5x iron nugget,Celeste,6250
Bamboo Basket,7x bamboo piece,Snooty island resident Message in a bottle,1120
Bamboo Bench,8x bamboo piece,Normal island resident Message in a bottle,1280
Bamboo Doll,6x young spring bamboo,Balloon during Spring,2400
Bamboo Floor Lamp,8x bamboo piece,Normal island resident Message in a bottle,1280
Bamboo Noodle Slide,7x young spring bamboo3x wood,Isabelle during Spring Balloon during Spring,3160
Bamboo Partition,7x bamboo piece6x stone,Cranky island resident Message in a bottle,2020
Bamboo Shelf,15x bamboo piece,Snooty island resident Message in a bottle,2400
Bamboo Speaker,3x bamboo piece1x iron nugget,Snooty island resident Message in a bottle,1230
Bamboo Stool,5x bamboo piece,Snooty island resident Message in a bottle,800
Bamboo Stopblock,3x bamboo piece,Jock island resident Message in a bottle,480
Barbell,10x iron nugget,Jock island resident Message in a bottle,7500
Barrel,5x wood2x iron nugget,"Tom Nook after receiving first three housing kits, 50% chance Cranky island resident Message in a bottle",2100
Beekeeper'S Hive,3x wasp nest5x wood,Jock island resident Message in a bottle,2400
Big Festive Tree,6x red ornament6x blue ornament4x gold ornament5x wood5x clay,Balloon during Festive Season,3200
Birdbath,6x stone,"Tom Nook after receiving first three housing kits, 50% chance Snooty island resident Message in a bottle",900
Birdcage,8x wood,Sisterly island resident Message in a bottle,960
Birdhouse,2x wood5x softwood,"Tom Nook after receiving first three housing kits, 50% chance Peppy island resident Message in a bottle",840
Blossom-Viewing Lantern,6x cherry-blossom petal4x hardwood,Balloon during Cherry-Blossom Season,2880
Bonfire,1x campfire10x wood,Tom Nook Cranky island resident Message in a bottle,1230
Bonsai Shelf,1x cherry-blossom bonsai1x pine bonsai tree8x wood,Cranky island resident Message in a bottle,8460
Brick Oven,8x clay2x iron nugget6x wood,"Wildest Dreams DIY from Nook's Cranny (6,980 )",3820
Brick Well,8x clay5x wood1x flimsy shovel,"Nook Stop (2,000 )",2800
Bunny Day Arch,2x earth egg2x stone egg2x leaf egg2x wood egg2x sky egg2x water egg,Zipper after collecting all 6 types of eggs,4800
Bunny Day Bed,1x earth egg1x stone egg1x leaf egg1x wood egg1x sky egg1x water egg,Bunny Day balloon Bunny Day bottle,2400
Bunny Day Festive Balloons,1x stone egg1x wood egg1x water egg,Bunny Day balloon Bunny Day bottle,1200
Bunny Day Merry Balloons,1x earth egg1x leaf egg1x sky egg,Bunny Day balloon Bunny Day bottle,1200
Bunny Day Stool,3x water egg,Bunny Day balloon Bunny Day bottle,1200
Bunny Day Table,4x earth egg,Bunny Day balloon Bunny Day bottle,1600
Bunny Day Vanity,4x leaf egg,Bunny Day balloon Bunny Day bottle,1600
Bunny Day Wardrobe,​​​​​4x ​​stone egg,Bunny Day balloon Bunny Day bottle,1600
Butter Churn,4x wood2x iron nugget,Snooty island resident Message in a bottle,1980
Campfire,3x tree branch,Tom Nook (first DIY workshop),30
Cancer Table,3x star fragment2x Cancer fragment2x gold nugget3x stone,Celeste June 22nd – July 22nd,21975
Capricorn Ornament,3x star fragment2x Capricornus fragment2x gold nugget12x stone,Celeste December 22nd – January 19th,22650
Cardboard Bed,4x cardboard box,Lazy island resident Message in a bottle,240
Cardboard Chair,1x cardboard box,Lazy island resident Message in a bottle,60
Cardboard Sofa,2x cardboard box,Peppy island resident Message in a bottle,120
Cardboard Table,4x cardboard box,Peppy island resident Message in a bottle,240
Cherry-Blossom Branches,8x cherry-blossom petal4x tree branch5x clay,Balloon during Cherry-Blossom Season,4240
Cherry-Blossom-Petal Pile,5x cherry-blossom petal,Balloon during Cherry-Blossom Season,2000
Cherry-Blossom Pond Stone,10x stone3x cherry-blossom petal,Balloon during Cherry-Blossom Season,2700
Clackercart,2x hardwood6x softwood,Lazy island resident Message in a bottle,960
Clothesline,10x tree branch,"Tom Nook after receiving first three housing kits, 50% chance Cranky island resident Message in a bottle",100
Cosmos Shower,5x pink cosmos3x iron nugget,Snooty island resident Message in a bottle,3050
Crescent-Moon Chair,7x star fragment1x large star fragment,Celeste,8500
Crewed Spaceship,10x star fragment20x iron nugget,Celeste,20000
Deer Scare,3x bamboo piece8x stone3x clump of weeds,Cranky island resident Message in a bottle,1740
Destinations Signpost,4x hardwood8x softwood,"Nook Stop (1,500 )",1440
Diy Workbench,5x wood5x hardwood5x softwood3x iron nugget1x mini DIY workbench,Sisterly island resident Message in a bottle,6630
Doghouse,10x wood7x hardwood,Jock island resident Message in a bottle,2040
Drinking Fountain,8x stone2x iron nugget,Nook Stop (800 ),2700
Festive Tree,3x red ornament3x blue ornament2x gold ornament5x wood,Balloon during Festive Season,1400
Flat Garden Rock,20x stone,Snooty island resident Message in a bottle,3000
Flower Stand,1x red roses2x pink roses2x orange roses2x white lilies1x yellow lilies4x purple windflowers,Sisterly island resident Message in a bottle,2880
Flying Saucer,15x star fragment10x iron nugget,Celeste,15000
Fountain,1x drinking fountain20x stone8x iron nugget,"Nook Stop (3,000 )",11700
Frozen Arch,1x large snowflake10x snowflake,Perfect Snowboy,9000
Frozen Bed,1x large snowflake10x snowflake,Perfect Snowboy,9000
Frozen Chair,1x large snowflake3x snowflake,Perfect Snowboy,6200
Frozen Counter,1x large snowflake5x snowflake,Perfect Snowboy,7000
Frozen Partition,1x large snowflake6x snowflake,Perfect Snowboy,7400
Frozen Pillar,1x large snowflake3x snowflake,Perfect Snowboy,6200
Frozen Sculpture,1x large snowflake4x snowflake,Perfect Snowboy,6600
Frozen Table,1x large snowflake8x snowflake,Perfect Snowboy,8200
Frozen Tree,1x large snowflake8x snowflake,Perfect Snowboy,8200
Garden Bench,12x wood4x iron nugget,Snooty island resident Message in a bottle,4440
Garden Rock,15x stone,Lazy island resident Message in a bottle,2250
Garden Wagon,3x white hyacinths3x red cosmos3x yellow roses8x wood2x iron nugget,Peppy island resident Message in a bottle,3180
Gemini Closet,3x star fragment2x Gemini fragment2x gold nugget6x stone,Celeste May 21st – June 21st,22000
Giant Teddy Bear,1x Papa bear1x Mama bear1x Baby bear,Peppy island resident Message in a bottle,6300
Golden Casket,8x gold nugget,Smug island resident Message in a bottle,80000
Golden Seat,5x gold nugget,Snooty island resident Message in a bottle,50000
Golden Toilet,6x gold nugget,Snooty island resident Message in a bottle,60000
Gong,6x iron nugget 5x wood,Cranky island resident Message in a bottle,5100
Grass Standee,2x wood2x softwood,Normal island resident Message in a bottle,480
Green-Leaf Pile,1x young spring bamboo10x clump of weeds,Balloon during Spring,600
Hay Bed,20x clump of weeds,"Tom Nook after receiving first three housing kits, 50% chance DIY for Beginners from Nook's Cranny (480 )",400
Hearth,2x bamboo piece5x iron nugget4x clay5x hardwood,"Wildest Dreams DIY from Nook's Cranny (6,980 )",5470
Hedge Standee,2x wood3x softwood,Normal island resident Message in a bottle,600
Illuminated Present,3x red ornament4x gold ornament3x iron nugget,Balloon during Festive Season,2950
Illuminated Reindeer,6x gold ornament5x iron nugget,Balloon during Festive Season,4350
Illuminated Snowflakes,9x blue ornament3x iron nugget,Balloon during Festive Season,3150
Illuminated Tree,8x red ornament8x blue ornament6x gold ornament6x iron nugget,Balloon during Festive Season,6700
Iron Closet,12x iron nugget,Sisterly island resident Message in a bottle,9000
Iron Frame,20x iron nugget,Jock island resident Message in a bottle,15000
Iron Garden Bench,8x iron nugget,Sisterly island resident Message in a bottle,6000
Iron Garden Chair,3x iron nugget,"Tom Nook after receiving first three housing kits, 50% chance Sisterly island resident Message in a bottle",2250
Iron Garden Table,5x iron nugget,"Tom Nook after receiving first three housing kits, 50% chance Sisterly island resident Message in a bottle",3750
Iron Hanger Stand,3x iron nugget,Cranky island resident Message in a bottle,2250
Iron Shelf,14x iron nugget,Sisterly island resident Message in a bottle,10500
Iron Worktable,10x iron nugget,Sisterly island resident Message in a bottle,7500
Ironwood Bed,20x wood10x iron nugget,Smug island resident Message in a bottle,9900
Ironwood Cart,6x wood4x iron nugget,Smug island resident Message in a bottle,3720
Ironwood Chair,3x wood2x iron nugget,Smug island resident Message in a bottle,1860
Ironwood Cupboard,12x wood6x iron nugget1x ironwood dresser,Snooty island resident Message in a bottle,9780
Ironwood Diy Workbench,12x wood6x iron nugget1x mini DIY workbench,Cranky island resident Message in a bottle,8520
Ironwood Dresser,7x wood4x iron nugget,Snooty island resident Message in a bottle,3840
Ironwood Kitchenette,4x wood3x iron nugget1x ironwood dresser1x cutting board,"Wildest Dreams DIY from Nook's Cranny (6,980 )",7560
Ironwood Low Table,6x wood4x iron nugget,Snooty island resident Message in a bottle,3720
Ironwood Table,12x wood6x iron nugget,Cranky island resident Message in a bottle,5940
Jail Bars,5x iron nugget,Cranky island resident Message in a bottle,3750
Juicy-Apple Tv,10x apple2x iron nugget,"Tom Nook after receiving first three housing kits, if the native fruit is apples Sisterly island resident Message in a bottle",3500
Kettle Bathtub,8x iron nugget2x wood1x campfire,Cranky island resident Message in a bottle,6270
Large Cardboard Boxes,5x cardboard box,Lazy island resident Message in a bottle,300
Leaf Campfire,3x pine cone5x clump of weeds3x tree branch,Balloon during Autumn,1330
Leaf Stool,3x maple leaf3x wood,Balloon during Maple Leaf Season,1560
Lily Record Player,5x white lilies3x iron nugget3x wood,Cranky island resident Message in a bottle,3010
Log Bed,30x hardwood,Peppy island resident Message in a bottle,3600
Log Bench,5x hardwood,"Tom Nook after receiving first three housing kits, 50% chance Normal island resident Message in a bottle",600
Log Chair,8x hardwood,Normal island resident Message in a bottle,960
Log Decorative Shelves,2x log bench3x hardwood,Normal island resident Message in a bottle,1560
Log Dining Table,15x hardwood,"Tom Nook after receiving first three housing kits, 50% chance Cranky island resident Message in a bottle",1800
Log Extra-Long Sofa,2x log chair,Normal island resident Message in a bottle,1920
Log Garden Lounge,12x hardwood,"Tom Nook after receiving first three housing kits, 50% chance Peppy island resident Message in a bottle",1440
Log Round Table,15x hardwood,Peppy island resident Message in a bottle,1800
Log Stakes,3x wood,Tom Nook (first DIY workshop) (resident representative only) Smug island resident Message in a bottle,360
Log Stool,4x hardwood,"Tom Nook after receiving first three housing kits, 50% chance Peppy island resident Message in a bottle",480
Lunar Lander,10x star fragment15x iron nugget,Celeste,16250
Lunar Rover,10x star fragment10x iron nugget4x old tire,Celeste,12580
Manhole Cover,3x iron nugget,Nook Stop (800 ),2250
Maple-Leaf Pond Stone,10x stone3x maple leaf,Balloon during Maple Leaf Season,2700
Medium Cardboard Boxes,4x cardboard box,Lazy island resident Message in a bottle,240
Mermaid Bed,2x pearl2x giant clam5x sand dollar,Pascal,22400
Mermaid Chair,1x pearl1x giant clam2x sand dollar,Pascal,11140
Mermaid Closet,2x pearl1x giant clam2x coral5x sand dollar,Pascal,22500
Mermaid Dresser,2x pearl1x giant clam3x coral,Pascal,22400
Mermaid Lamp,1x pearl3x conch2x coral2x iron nugget,Pascal,13850
Mermaid Screen,2x pearl3x giant clam5x sand dollar,Pascal,23300
Mermaid Shelf,1x pearl1x giant clam4x coral,Pascal,12900
Mermaid Sofa,1x pearl10x sand dollar,Pascal,11200
Mermaid Table,1x pearl4x sand dollar,Pascal,10480
Mermaid Vanity,1x pearl1x giant clam2x coral2x iron nugget,Pascal,12650
Mini Diy Workbench,3x wood3x hardwood3x softwood2x iron nugget,"Test Your DIY Skills from Nook's Cranny (2,680 )",2580
Moon,15x star fragment1x large star fragment,Celeste,12500
Mossy Garden Rock,15xstone15x clump of weeds,Lazy island resident Message in a bottle,2550
Mountain Standee,4x wood5x softwood,Jock island resident Message in a bottle,1080
Mum Cushion,3x yellow mums10x clump of weeds,Peppy island resident Message in a bottle,440
Mush Lamp,1x skinny mushroom5x clay,Balloon during Mushrooming Season,1600
Mush Log,2x skinny mushroom1x log stool,Balloon during Mushrooming Season,1680
Mush Low Stool,2x round mushroom,Balloon during Mushrooming Season,800
Mush Parasol,3x flat mushroom,Balloon during Mushrooming Season,1200
Mush Partition,3x skinny mushroom,Balloon during Mushrooming Season,1800
Mush Table,2x flat mushroom6x wood,Balloon during Mushrooming Season,1520
Music Stand,8x hardwood,Lazy island resident Message in a bottle,960
Natural Garden Chair,6x hardwood2x iron nugget,"Tom Nook after receiving first three housing kits, 50% chance Peppy island resident Message in a bottle",2220
Natural Garden Table,9x hardwood3x iron nugget,"Tom Nook after receiving first three housing kits, 50% chance Normal island resident Message in a bottle",3330
Natural Square Table,4x hardwood2x iron nugget,Normal island resident Message in a bottle,1980
Oil-Barrel Bathtub,1x oil barrel1x campfire2x stone,Jock island resident Message in a bottle,655
Orange End Table,10x orange4x wood,"Tom Nook after receiving first three housing kits, if the native fruit is oranges Lazy island resident Message in a bottle",2480
Outdoor Bath,20xstone1x shovel,"Nook Stop (3,000 )",4350
Outdoor Picnic Set,10x cherry-blossom petal,Isabelle during Cherry-Blossom Season Balloon during Cherry-Blossom Season,4000
Palm-Tree Lamp,4x coconut4x wood4x clay,Snooty island resident Message in a bottle,3280
Pansy Table,5x yellow pansies3x hardwood,Normal island resident Message in a bottle,760
Peach Chair,10x peach5x wood,"Tom Nook after receiving first three housing kits, if the native fruit is peaches Normal island resident Message in a bottle",2600
Pear Bed,10x pear6x softwood,"Tom Nook after receiving first three housing kits, if the native fruit is pears Jock island resident Message in a bottle",2720
Pear Wardrobe,10x pear5x wood,"Tom Nook after receiving first three housing kits, if the native fruit is pears Jock island resident Message in a bottle",2600
Pile Of Leaves,3x pine cone5x clump of weeds,Balloon during Autumn,1300
Pile Of Zen Cushions,3x zen cushion,Cranky island resident Message in a bottle,750
Pisces Lamp,3x star fragment2x Pisces fragment2x gold nugget4x stone,Celeste February 19th – March 20th,22050
Plain Sink,6x wood4x clay1x iron nugget,"Wildest Dreams DIY from Nook's Cranny (6,980 )",2270
Plain Wooden Shop Sign,6x wood,Jock island resident Message in a bottle,720
Pond Stone,10x stone,Snooty island resident Message in a bottle,1500
Raccoon Figurine,6x clay,Cranky island resident Message in a bottle,1200
Red-Leaf Pile,3x maple leaf4x clump of weeds,Isabelle during Maple Leaf Season Balloon during Maple Leaf Season,1280
Robot Hero,1x rocket1x gold armor30x rusted part90x iron nugget10x gold nugget,"Nook Stop (5,000 )",250000
Rocket,10x star fragment20x iron nugget,Celeste,20000
Rocking Chair,3x wood5x softwood,"Test Your DIY Skills from Nook's Cranny (2,680 )",960
Rocking Horse,5x softwood,Normal island resident Message in a bottle,600
Rose Bed,10x red roses5x wood,Smug island resident Message in a bottle,1400
Satellite,10x star fragment15x iron nugget,Celeste,16250
Sauna Heater,6x stone3x iron nugget3x wood,Lazy island resident Message in a bottle,3510
Scarecrow,5x tree branch5x clump of weeds,Cranky island resident Message in a bottle,130
Scattered Papers,1x document stack,Smug island resident Message in a bottle,400
Shell Arch,3x sea snail3x venus comb3x sand dollar3x coral3x giant clam3x cowrie,Lazy island resident Message in a bottle,12360
Shell Bed,5x giant clam3x clay4x stone,Peppy island resident Message in a bottle,10200
Shell Fountain,5x giant clam3x stone,Lazy island resident Message in a bottle,9450
Shell Partition,4x venus comb4x conch,Sisterly island resident Message in a bottle,8000
Shell Stool,5x cowrie,Sisterly island resident Message in a bottle,600
Shell Table,7x sand dollar3x clay,Peppy island resident Message in a bottle,2280
Signpost,2x hardwood3x softwood,Lazy island resident Message in a bottle,600
Silo,12x iron nugget6x hardwood12x clay12x stone,"Nook Stop (3,000 )",13920
Simple Diy Workbench,5x hardwood1x iron nugget,Mail from Nintendo after the first night on the island Jock island resident Message in a bottle,1350
Simple Well,15x stone1x flimsy shovel,"Nook Stop (2,000 )",2850
Sleigh,8x wood,Cranky island resident Message in a bottle,960
Small Cardboard Boxes,2x cardboard box,Peppy island resident Message in a bottle,120
Space Shuttle,5x star fragment10x iron nugget,Celeste,10000
Stall,12x wood,"Nook Stop (2,000 )",1440
Standard Umbrella Stand,3x iron nugget,Cranky island resident Message in a bottle,2250
Stone Arch,90x stone,"Nook Stop (2,000 )",13500
Stone Lion-Dog,24x stone,Smug island resident Message in a bottle,3600
Stone Stool,3x stone,"Tom Nook after receiving first three housing kits, 50% chance DIY for Beginners from Nook's Cranny (480 )",450
Stone Table,8x stone,"Tom Nook after receiving first three housing kits, 50% chance Lazy island resident Message in a bottle",1200
Stone Tablet,12x stone,Nook Stop (800 ),1800
Street Piano,1x upright piano1x painting set,Sisterly island resident Message in a bottle,26755
Swinging Bench,5x wood7x softwood,"Tom Nook after receiving first three housing kits, 50% chance Test Your DIY Skills from Nook's Cranny (2,680 )",1440
Tall Garden Rock,60x stone,Snooty island resident Message in a bottle,9000
Tall Lantern,18x stone,Smug island resident Message in a bottle,2700
Taurus Bathtub,3x star fragment2x Taurus fragment1x gold nugget8x stone,Celeste April 20th – May 20th,12350
Tea Table,12x hardwood,Cranky island resident Message in a bottle,1440
Three-Tiered Snowperson,1x large snowflake6x snowflake2x tree branch,Perfect Snowboy,7420
Tiki Torch,5x tree branch5x wood,Tom Nook Cranky island resident Message in a bottle,650
Tiny Library,3x book 5x wood,Normal island resident Message in a bottle,1035
Tire Stack,3x old tire,Fishing up 3 old tires,60
Tire Toy,1x old tire,Fishing up an old tire,20
Tree Standee,5x wood8x softwood,Jock island resident Message in a bottle,1560
Tree'S Bounty Arch,4x pine cone5x acorn5x maple leaf15x tree branch,Balloon during Maple Leaf Season,5750
Tree'S Bounty Big Tree,5x pine cone4x acorn4x maple leaf8x tree branch4x clay,Balloon during Maple Leaf Season,6080
Trophy Case,24x hardwood3x gold nugget6x iron nugget,Jock island resident Message in a bottle,33690
Tulip Surprise Box,5x red tulips3x softwood,Jock island resident Message in a bottle,760
Virgo Harp,3x star fragment2x Virgo fragment2x gold nugget4x stone,Celeste August 23rd – September 22nd,22050
Water Pump,2x iron nugget6x clay,"Tom Nook after receiving first three housing kits, 50% chance Lazy island resident Message in a bottle",2700
Wave Breaker,10x stone10x clay,"Nook Stop (1,500 )",3500
Western-Style Stone,30x stone,Normal island resident Message in a bottle,4500
Wild Log Bench,8x hardwood,"Wildest Dreams DIY from Nook's Cranny (6,980 ) from Nook's Cranny Jock island resident Message in a bottle",960
Wooden-Block Bed,1x wooden-block toy17x softwood,Normal island resident Message in a bottle,2400
Wooden-Block Bench,1x wooden-block toy4x softwood,Sisterly island resident Message in a bottle,840
Wooden-Block Bookshelf,1x wooden-block toy3x softwood,"Test Your DIY Skills from Nook's Cranny (2,680 )",720
Wooden-Block Chair,1x wooden-block toy3x softwood,"Test Your DIY Skills from Nook's Cranny (2,680 )",720
Wooden-Block Chest,1x wooden-block toy12x softwood,Normal island resident Message in a bottle,1800
Wooden-Block Stereo,1x wooden-block toy5x softwood2x iron nugget,"Tom Nook after receiving first three housing kits Test Your DIY Skills from Nook's Cranny (2,680 )",2460
Wooden-Block Stool,1x wooden-block toy2x softwood,Peppy island resident Message in a bottle,600
Wooden-Block Table,1x wooden-block toy8x softwood,Tom Nook after receiving first three housing kits Sisterly island resident Message in a bottle,1320
Wooden Bookshelf,5x book10x wood,Lazy island resident Message in a bottle,1925
Wooden Bucket,3x wood1x iron nugget,"Tom Nook after receiving first three housing kits, 50% chance Smug island resident Message in a bottle",1110
Wooden Chair,6x wood,Tom Nook after receiving first three housing kits Snooty island resident Message in a bottle,720
Wooden Chest,16x wood,Lazy island resident Message in a bottle,1920
Wooden Double Bed,30x wood,Smug island resident Message in a bottle,3600
Wooden End Table,8x wood,Snooty island resident Message in a bottle,960
Wooden Full-Length Mirror,5x wood1x iron nugget,Peppy island resident Message in a bottle,1350
Wooden Low Table,10x wood,Smug island resident Message in a bottle,1200
Wooden Mini Table,6x wood,Sisterly island resident Message in a bottle,720
Wooden Simple Bed,18x wood,Tom Nook after receiving first three housing kits Lazy island resident Message in a bottle,2160
Wooden Stool,4x wood,Peppy island resident Message in a bottle,480
Wooden Table,15x wood,Sisterly island resident Message in a bottle,1800
Wooden Wardrobe,12x wood,Tom Nook (Customization Workshop),1440
Wooden Waste Bin,4x wood,Sisterly island resident Message in a bottle,480
Yellow-Leaf Pile,3x acorn5x clump of weeds,Balloon during Autumn,1300
Zen-Style Stone,30x stone,Lazy island resident Message in a bottle,4500
